open,write,read,close
117.418,5.19,0.759,11.8
115.357,5.16,0.79,11.68
114.317,5.27,0.76,11.49
132.977,6.22,0.89,13.209
122.787,5.55,0.8,12.52
118.457,5.21,0.76,11.66
116.717,5.16,0.78,11.739
117.078,5.25,0.809,11.63
117.377,5.19,0.77,11.67
114.997,5.33,0.78,11.75
114.537,5.42,0.77,11.7
114.887,5.28,0.77,11.55
118.228,5.21,0.8,11.779
114.188,5.469,0.75,11.62
114.657,5.25,0.8,11.8
114.347,5.29,0.8,11.73
116.347,5.26,0.77,11.6
114.417,5.28,0.8,11.66
126.948,5.159,0.78,11.62
120.427,5.23,0.8,11.7
115.687,5.44,0.77,11.62
120.417,5.23,0.76,11.679
117.258,5.199,0.76,11.73
117.177,5.27,0.78,11.59
114.097,5.17,0.8,11.7
115.707,5.21,0.79,11.64
114.787,5.21,0.79,11.649
115.898,5.42,0.77,11.659
118.927,5.17,0.79,11.65
115.877,5.26,0.77,11.6
117.107,5.21,0.79,11.73
116.147,5.19,0.77,11.609
117.478,5.21,0.79,11.589
115.097,5.19,0.79,11.49
116.177,5.27,0.76,11.6
114.727,5.19,0.78,11.66
114.777,5.26,0.78,11.7
121.747,5.25,0.78,11.699
115.338,5.239,0.79,11.6
122.377,5.56,0.81,11.84
119.677,5.39,0.77,11.679
115.948,5.26,0.78,11.709
116.918,5.279,0.79,11.62
144.167,7.75,1.14,16.86
128.177,6.13,0.9,13.31
121.788,5.799,0.88,12.53
123.037,6.14,0.87,13.27
119.857,5.24,0.77,11.629
116.238,5.24,0.77,11.61
116.077,5.2,0.76,11.7
116.117,9.12,1.55,11.72
115.587,5.23,0.79,11.57
117.778,5.24,0.78,11.639
119.557,5.28,0.82,11.67
122.067,5.5,0.8,11.83
114.227,5.19,0.77,11.57
113.787,5.26,0.73,11.699
114.238,5.17,0.76,11.629
117.428,5.319,0.78,11.75
113.957,5.54,0.79,11.57
114.207,5.27,0.77,11.64
120.537,11.99,0.91,12.429
119.218,5.129,0.76,11.69
115.417,5.3,0.78,11.8
126.297,8.379,2.23,16.12
124.057,5.4,0.76,12.2
115.817,5.22,0.78,11.65
115.118,5.24,0.76,11.629
118.107,5.2,0.77,11.7
116.507,5.26,0.79,11.68
116.827,5.4,0.77,11.829
120.018,5.229,0.74,11.67
116.107,5.42,0.76,11.74
128.636,8.65,1.01,15.53
157.516,6.95,0.88,13.01
117.057,5.77,0.87,12.509
114.338,5.75,0.89,12.539
116.117,5.63,0.87,12.45
112.017,5.71,0.86,13.22
111.057,5.83,0.89,187.015
438.31,5.86,0.85,12.629
118.168,6.269,0.92,13.48
149.076,5.84,0.89,12.84
119.527,5.3,0.74,11.67
116.507,5.32,0.77,11.809
116.298,5.429,0.77,11.71
116.327,5.21,0.77,11.78
116.337,5.22,0.78,11.7
128.446,5.24,0.79,11.56
115.057,5.21,0.74,11.65
114.407,5.22,0.76,11.63
115.907,5.2,0.81,11.619
118.917,5.34,0.76,11.69
142.637,5.229,0.79,11.67
115.957,5.21,0.77,11.57
116.987,5.23,0.78,11.68
117.627,5.25,0.77,11.829
116.978,5.169,0.78,11.64
117.547,5.28,0.79,11.6
114.297,5.21,0.8,11.63
115.037,5.63,0.79,11.819
115.288,5.219,0.78,11.62
117.757,5.22,0.78,11.68
117.817,5.24,0.79,11.56
117.997,5.19,0.79,11.639
114.078,5.239,0.77,11.68
114.887,5.18,0.78,11.74
114.627,5.27,0.78,11.63
135.866,5.27,0.8,11.76
120.217,5.19,0.76,11.63
117.077,5.24,0.78,11.799
117.638,5.23,0.8,11.64
117.857,5.18,0.77,11.57
114.507,5.14,0.78,11.55
114.487,5.26,0.8,11.749
116.938,5.219,0.78,11.76
115.157,5.35,0.76,11.68
118.067,5.3,0.76,11.72
116.927,5.32,0.79,11.659
117.307,5.23,0.76,11.67
114.937,5.37,0.82,12.04
123.777,5.25,0.79,11.689
116.298,5.259,0.77,11.62
113.897,5.19,0.79,11.71
116.147,5.38,0.79,11.76
116.407,5.26,0.77,11.669
113.878,5.2,0.79,11.83
113.947,5.15,0.8,11.78
115.457,5.28,0.78,11.66
114.397,5.2,0.78,11.77
118.957,5.74,0.85,12.469
118.727,5.42,0.77,11.65
155.126,6.18,1.71,12.08
116.267,5.29,0.78,11.79
115.788,5.33,0.78,11.709
117.778,5.269,0.77,11.6
114.177,5.17,0.75,11.56
114.357,5.23,0.78,11.64
114.307,5.44,0.77,11.78
117.557,5.32,0.78,11.599
118.848,5.22,0.809,11.97
116.177,5.27,0.76,11.73
114.187,5.43,0.76,11.72
114.407,5.19,0.75,11.69
114.117,5.22,0.78,11.68
117.057,5.29,0.79,11.719
113.978,5.28,0.75,11.659
114.758,5.359,0.77,11.64
110.967,5.38,0.77,11.75
114.587,5.22,0.79,11.72
115.947,5.26,0.77,11.65
118.387,5.21,0.79,11.629
114.108,5.21,0.8,11.659
115.108,5.259,0.76,11.57
119.467,5.22,0.76,11.6
156.166,7.36,1.12,16.009
132.567,5.68,0.83,12.68
116.417,5.27,0.77,11.58
115.757,5.31,0.79,11.82
116.227,5.29,0.8,11.829
155.487,6.06,0.92,13.389
126.877,5.95,0.86,12.85
109.787,6.63,0.99,15.169
129.307,5.73,0.8,12.72
117.087,5.32,0.74,11.66
114.997,5.28,0.76,11.66
117.177,5.27,0.78,11.869
117.068,5.209,0.77,11.68
117.087,5.37,0.77,11.56
114.247,5.3,0.76,11.62
114.337,5.28,0.76,11.62
113.707,5.22,0.76,11.62
114.038,5.18,0.77,11.749
111.588,5.69,0.86,12.489
118.887,5.2,0.76,11.7
114.267,5.21,0.79,11.67
116.297,5.28,0.78,11.62
114.767,5.17,0.77,11.6
114.288,5.44,0.78,11.619
113.868,5.28,0.74,11.609
152.757,6.1,0.909,13.19
112.797,9.51,1.48,17.12
114.277,5.73,0.85,12.4
115.787,6.03,0.87,13.149
123.097,5.56,0.77,11.77
114.757,5.16,0.78,11.51
114.777,5.25,0.75,11.52
124.577,5.21,0.79,11.519
114.458,5.149,0.77,11.48
113.197,5.21,0.77,11.62
113.387,5.21,0.79,11.7
112.807,5.58,0.76,11.48
121.807,5.78,0.86,12.379
116.358,5.2,0.78,11.669
117.247,5.18,0.75,11.61
115.187,5.16,0.78,11.49
114.887,5.31,0.75,11.61
116.727,5.21,0.79,11.46
114.058,5.32,0.76,11.679
115.138,5.18,0.77,11.609
117.147,5.25,0.78,11.47
113.707,5.31,0.78,11.63
101.047,5.1,0.76,11.41
117.897,9,0.79,12.05
117.457,5.23,1.67,11.92
118.477,5.13,0.75,11.56
114.497,5.22,0.75,11.669
113.838,5.22,0.75,11.619
114.128,5.14,0.76,11.529
134.607,5.45,0.79,11.6
122.307,5.26,0.78,11.759
114.068,5.149,0.77,11.54
114.257,5.14,0.77,11.65
112.387,5.2,0.77,11.7
114.017,5.14,0.77,11.72
113.187,5.13,0.78,11.53
114.567,5.1,0.77,11.72
117.428,5.21,0.8,11.819
114.338,5.169,0.79,11.67
