open_us,write_us,read_us,close_us
492,22,14,53
473,22,9,36
548,20,9,33
549,14,6,25
425,12,5,30
480,20,8,29
444,23,9,36
465,21,9,42
461,22,9,37
616,14,6,26
460,23,14,37
457,13,6,22
558,28,10,37
456,21,9,36
555,22,9,34
553,21,9,37
485,23,9,36
484,22,10,33
445,14,7,23
454,12,5,21
487,40,10,49
1505,28,18,37
494,16,32,29
554,14,6,26
456,23,9,48
460,20,8,31
462,25,10,44
437,36,6,26
474,26,9,43
387,54,6,25
473,24,11,42
404,44,11,36
464,21,8,38
405,21,9,31
469,24,10,38
391,16,7,23
451,11,6,21
423,26,9,37
463,28,9,40
422,38,7,38
446,26,10,39
454,26,9,36
457,14,6,23
452,12,5,21
450,28,9,34
457,28,10,34
470,21,12,47
456,20,8,34
504,30,10,36
517,23,9,44
462,26,9,49
440,18,8,28
479,26,10,51
465,23,9,40
408,23,9,41
454,22,13,37
437,22,8,38
471,18,8,28
457,13,5,23
485,41,9,41
471,26,9,36
443,22,9,36
461,22,8,36
460,15,7,24
446,11,5,21
463,26,9,39
405,55,5,22
399,11,4,21
461,24,9,40
443,16,6,25
464,25,9,44
398,20,5,23
465,26,9,39
389,55,6,22
445,23,9,37
401,13,6,22
416,38,9,38
443,14,5,27
459,27,10,56
416,34,6,25
509,15,6,23
716,25,9,50
438,23,10,35
408,15,17,29
493,24,9,40
453,25,9,45
467,16,7,25
475,26,10,41
398,60,7,31
463,23,9,39
405,15,6,25
439,24,9,40
461,23,10,40
455,15,5,23
461,25,9,42
398,14,9,29
467,23,9,39
452,20,6,24
438,25,6,21
469,26,9,40
395,13,8,28
411,25,9,39
416,20,7,26
420,22,9,44
404,81,9,43
468,21,8,38
447,20,13,37
393,40,6,28
459,11,5,21
458,26,9,44
383,12,5,23
505,22,16,34
441,22,8,32
491,14,6,24
464,29,10,42
554,22,9,36
400,29,9,38
469,22,10,53
496,22,9,36
437,21,9,48
495,21,9,40
460,22,10,38
452,29,7,27
387,16,6,23
456,21,9,32
517,24,10,53
457,18,7,27
397,24,21,21
454,11,5,21
451,31,11,45
398,41,6,30
456,26,9,36
446,26,8,43
464,22,8,38
445,22,9,40
462,19,7,34
441,13,6,22
466,41,14,48
404,48,11,38
440,22,10,39
570,17,8,27
475,23,10,51
470,22,9,58
416,21,9,44
442,15,8,23
464,26,10,45
457,22,8,39
411,28,6,22
461,25,9,48
405,16,7,24
476,25,9,40
461,14,6,22
459,11,5,21
458,27,11,41
408,46,5,23
466,24,9,48
434,25,10,59
446,14,6,22
431,12,4,22
448,23,9,41
451,21,8,43
389,58,6,23
420,12,6,20
466,26,10,41
393,45,6,23
398,13,41,19
462,23,10,44
388,12,23,24
457,26,9,41
