Run,Open,Write,Read,Close
532,136.7,75.1,6.2,97.3
533,142.7,61.9,5.5,83.7
534,108,56.5,7.6,85.6
535,105.2,56.6,6.8,85.2
536,95.4,57.2,6.9,81.7
537,87.4,56.8,7.3,83.8
538,136.3,74.1,5.9,95.3
539,121.3,57.9,5.3,84.5
540,102.8,57.3,7.2,81.7
541,88,105.2,6.7,94.2
542,121.7,62.7,5.4,84.8
543,96.2,59.3,6.7,82.1
544,90.7,56.7,6.8,84.4
545,133.8,71.4,5.5,87.8
546,157.7,65.4,5.3,86.3
547,151.1,64.1,5.5,84.3
548,107.1,59.3,7.1,76.9
549,112,61.2,7.7,77.5
550,105.8,59.6,8.8,77.2
551,122.6,64.1,8,198.5
552,232.7,102.5,9.2,133.6
553,151.4,61.8,7.1,169
554,136.4,64.4,7.4,113.4
555,140.1,60.1,7,105.8
556,134.3,60.1,6.7,98.9
557,123.4,61.8,7.5,138.2
558,120.8,59.5,7.4,102.5
559,115.4,60.3,6.6,99.3
560,111.3,59.1,7,97.1
561,121.2,62.5,7.1,130.3
562,123.1,57.9,6.6,98.4
563,113.6,60,6.9,101.6
564,130.9,59.2,7,97.1
565,124,57.4,7,96.2
566,127.3,60.1,6.5,98.6
567,110.9,343.8,20.4,656.3
568,231.2,129.3,11,145.1
569,138.8,52.2,6.1,181.1
570,157.6,70.4,8,117.9
571,148.1,65,7.2,110.5
572,140.6,62.5,7.4,101.9
573,155.4,65.2,7.6,131.7
574,160.6,63.6,6.9,91.4
575,95.2,44.8,5.9,109.4
576,185.1,82.8,7.7,298.7
577,199.5,75.3,7.7,125.6
578,174.6,74.6,8.7,123.6
579,149.1,92.7,8.1,115.8
580,153.4,69.6,7.9,116
581,168.7,68.3,7,118.8
582,163.5,80.1,10.4,117.7
583,118.7,60.5,8.4,125
584,144.6,64.1,7.3,134.9
585,137.5,77.4,8.6,126.3
586,142.6,76.6,7.9,133
587,139.5,69.5,8.5,120.5
588,140.2,65.6,7.5,141
589,240.9,87.9,8.9,132
590,247.2,101.9,9.8,145.6
591,191.2,91,52.3,155.9
592,156.3,68.6,7.3,192.7
593,212.2,83.3,10.1,178.3
594,228.7,85.2,9.4,144.4
595,167.5,65.8,7.6,110.4
596,145.7,64.3,8.1,115.9
597,149.4,65.1,7.6,108.2
598,128.8,63.3,6.9,312.8
599,183.9,76.1,8.4,409.3
600,162.4,56.6,6.1,93.9
601,101,63.5,5.5,234.1
602,169.8,118.6,10.5,107
603,151.5,69.5,8.3,448
604,188.6,75.8,8.9,114.3
605,155.3,72.7,7.6,196.1
606,197.4,89.9,9.6,121.8
607,149.8,75.3,8.8,111.5
608,131.9,71.7,8.2,178.8
609,134.9,52.8,5.7,80.7
610,108.6,45.5,5.4,162.1
611,178,76.2,6.7,109.9
612,170.7,70.3,6,95.5
613,123.8,60.6,5.1,83.6
614,95.1,62.3,6.9,85.2
615,106,57.7,6.9,82.3
616,106,61.3,7.8,77.3
617,112.7,58.1,7.6,83.3
618,156.9,63.6,5.1,87
619,107.2,62,5.1,80.7
620,103.9,57.5,6.7,79.8
621,88.9,59.8,7.2,87.4
622,87.4,56.9,6.9,133.4
623,119.2,53.7,4.9,77.6
624,126.2,61.6,5,79
625,96.5,56.8,7.3,79.8
626,163.8,79.3,6.4,121.4
627,145.2,59.6,5.3,83
628,98.6,60.1,6.9,81.2
629,130,63,5.1,80.9
630,95.4,57.9,7.1,79.9
631,102.3,63.1,7.5,234.1
632,269.4,88.3,7.3,114.3
633,212.1,55.7,5.6,90.7
634,100.5,46.7,5.1,80.6
635,160.2,70.9,6.2,101.8
636,141.9,49.6,5,83.4
637,96,46.8,5,75.6
638,85,47.2,5,75.1
639,81.9,53.4,5,74.7
