Run,Open,Write,Read,Close
479,253.900,159.800,19.600,273.800
480,311.100,143.600,18.500,236.400
481,324.800,143.900,18.000,219.300
482,234.800,158.900,17.500,205.000
483,218.300,154.900,58.100,295.700
484,238.700,133.200,20.200,290.700
485,313.200,154.000,18.800,364.900
486,231.800,127.000,16.400,180.700
487,192.600,126.800,16.800,244.000
488,258.000,134.700,15.800,308.400
489,238.300,122.200,15.700,352.700
490,352.000,152.300,19.100,216.800
491,240.000,118.600,15.100,179.900
492,251.100,154.200,16.200,249.400
493,259.600,118.900,15.300,189.600
494,369.000,1383.900,26.000,303.600
495,242.300,119.200,15.000,176.800
496,439.400,131.500,14.200,188.400
497,213.600,114.600,14.800,171.600
498,187.300,113.100,15.100,309.000
499,233.600,130.800,16.400,236.400
500,194.000,134.800,15.500,214.100
501,214.900,201.100,49.200,284.500
502,300.700,178.600,18.900,310.900
503,241.900,144.100,15.600,203.000
504,193.000,110.100,13.600,300.300
505,426.500,185.900,16.000,193.200
506,222.600,188.300,16.400,204.900
507,197.100,199.100,23.900,217.700
508,203.300,120.500,13.000,163.000
509,213.500,121.200,15.100,172.500
510,172.900,185.400,15.900,186.900
511,198.800,205.200,23.600,423.600
512,196.900,115.600,13.700,181.400
513,183.200,121.600,16.200,406.900
514,324.800,239.500,17.000,223.200
515,211.500,123.200,13.600,333.500
516,272.000,127.900,15.000,173.600
517,184.700,160.400,17.500,194.400
518,235.800,162.200,96.300,375.900
519,345.900,143.100,17.200,197.400
520,263.400,151.900,17.900,214.300
521,314.600,141.700,16.300,202.400
522,212.700,117.100,14.500,235.500
523,203.700,141.300,16.900,227.600
524,282.300,210.900,16.700,233.600
525,203.000,177.200,18.600,194.500
526,264.600,181.400,15.700,184.500
527,199.900,187.700,14.900,178.700
528,215.300,191.200,21.300,301.400
529,354.200,159.500,15.900,261.600
530,230.200,123.100,14.600,184.300
531,225.900,171.300,15.200,430.600
532,254.600,137.400,17.800,685.800
533,190.600,89.500,9.400,111.100
534,127.100,203.100,27.100,338.300
535,232.000,125.600,15.800,192.300
536,194.700,116.600,15.600,169.900
